,us_house_price_idx,us_cpi,us_unemployment,us_consumer_confidence,us_real_gdp,us_gdp_yoy_growth,us_bond_yield_10y,us_reer,us_oil_price,us_credit,us_credit_qoq_growth,us_credit_yoy_growth,us_industrial_production,us_vix,us_sp500_close,us_sp500_qoq_growth
1936-09-30,,,,,,,,,,,,,7.5128,,,
1936-12-31,,,,,,,,,,,,,8.0783,,,
1937-03-31,,,,,,,,,,,,,8.3475,,,
1937-06-30,,,,,,,,,,,,,8.2667,,,
1937-09-30,,,,,,,,,,,,,7.9975,,,
1937-12-31,,,,,,,,,,,,,6.0856,,,
1938-03-31,,,,,,,,,,,,,5.8971,,,
1938-06-30,,,,,,,,,,,,,5.7086,,,
1938-09-30,,,,,,,,,,,,,6.5434,,,
1938-12-31,,,,,,,,,,,,,7.055,,,
1939-03-31,,,,,,,,,,,,,7.1358,,,
1939-06-30,,,,,,,,,,,,,7.2435,,,
1939-09-30,,,,,,,,,,,,,8.0244,,,
1939-12-31,,,,,,,,,,,,,8.6437,,,
1940-03-31,,,,,,,,,,,,,8.0783,,,
1940-06-30,,,,,,,,,,,,,8.7514,,,
1940-09-30,,,,,,,,,,,,,9.1015,,,
1940-12-31,,,,,,,,,,,,,9.7747,,,
1941-03-31,,,,,,,,,,,,,10.6364,,,
1941-06-30,,,,,,,,,,,,,11.2288,,,
1941-09-30,,,,,,,,,,,,,11.4981,,,
1941-12-31,,,,,,,,,,,,,11.8481,,,
1942-03-31,,,,,,,,,,,,,12.4405,,,
1942-06-30,,,,,,,,,,,,,12.1443,,,
1942-09-30,,,,,,,,,,,,,13.1137,,,
1942-12-31,,,,,,,,,,,,,14.1908,,,
1943-03-31,,,,,,,,,,,,,14.8102,,,
1943-06-30,,,,,,,,,,,,,15.0256,,,
1943-09-30,,,,,,,,,,,,,16.2104,,,
1943-12-31,,,,,,,,,,,,,16.4527,,,
1944-03-31,,,,,,,,,,,,,16.7489,,,
1944-06-30,,,,,,,,,,,,,16.5874,,,
1944-09-30,,,,,,,,,,,,,16.6681,,,
1944-12-31,,,,,,,,,,,,,16.5335,,,
1945-03-31,,,,,,,,,,,,,16.2104,,,
1945-06-30,,,,,,,,,,,,,15.1333,,,
1945-09-30,,,,,,,,,,,,,12.0635,,,
1945-12-31,,,,,,,,,,85.382,,,12.0635,,,
1946-03-31,,,,,,,,,,88.98,4.214002951441764,,11.9558,,,
1946-06-30,,,,,,,,,,92.619,4.0896830748482715,,12.0097,,,
1946-09-30,,,,,,,,,,96.297,3.9711074401580726,,13.1137,,,
1946-12-31,,,,,,,,,,99.975,3.819433627215796,17.091424422009304,13.5176,,,
1947-03-31,,,,,2182.681,,,,,104.29,4.316079019754948,17.206113733423244,13.8407,,,
1947-06-30,,,,,2176.892,,,,,108.653,4.183526704382001,17.3117826795798,13.7869,,,
1947-09-30,,,,,2172.432,,,,,113.063,4.058792670243805,17.41071892166943,13.8946,,,
1947-12-31,,,,,2206.452,,,,,117.474,3.901364725860801,17.503375843961,14.2716,,,
1948-03-31,,,,,2239.682,2.6115130887197857,,,,121.432,3.369256175834656,16.436858759229068,14.2177,,,
1948-06-30,,,,,2276.69,4.584425869542463,,,,125.389,3.2586138744317816,15.403164201632702,14.6755,,,
1948-09-30,,,,,2289.77,5.401227748440474,,,,129.39,3.19087001252103,14.440621600346692,14.5139,,,
1948-12-31,,,,,2292.364,3.893671831519563,,,,133.391,3.0922018703145593,13.549381139656425,14.2985,,,
1949-03-31,,,,,2260.807,0.9432142598815307,,,,136.058,1.9993852658725109,12.04460109361618,13.76,,,
1949-06-30,,,,,2253.128,-1.0349235073725427,,,,138.754,1.9815078863425928,10.658829721905416,13.4638,,,
1949-09-30,,,,,2276.424,-0.5828532996763891,,,,141.48,1.9646280467590094,9.343844191977734,13.7061,,,
1949-12-31,,,,,2257.352,-1.5273316105121282,,,,144.206,1.926774102346629,8.107743400979084,13.7869,,,
1950-03-31,,,,,2346.104,3.7728563296203443,,,,149.809,3.8854139217508354,10.10671919328523,14.5409,,17.290000915527344,
1950-06-30,,,,,2417.682,7.3033578207718275,,,,155.474,3.7814817534326917,12.050103060091955,15.8334,,17.690000534057617,2.3134736688825264
1950-09-30,,,,,2511.127,10.31016190305496,,,,161.202,3.6842172967827436,13.939779474130631,16.7489,,19.450000762939453,9.949124792242948
1950-12-31,,,,,2559.214,13.37239384907627,,,,166.929,3.5526854505527172,15.757319390316638,17.1259,,20.43000030517578,5.038557860129478
1951-03-31,,,,,2593.967,10.564876919352262,,,,171.94,3.0018750486733747,14.772810712307006,17.3682,,21.479999542236328,5.139496923034992
1951-06-30,,,,,2638.898,9.149921288242213,,,,177.007,2.9469582412469553,13.849904164040305,17.2605,,20.959999084472656,-2.4208587935078407
1951-09-30,,,,,2693.259,7.252998354921925,,,,182.13,2.8942358211822006,12.982469200133995,16.9374,,23.260000228881836,10.973288382025936
1951-12-31,,,,,2699.156,5.468163272004611,,,,187.253,2.8128260034041563,12.175236178255421,17.1528,,23.770000457763672,2.1926062934796153
1952-03-31,,,,,2727.954,5.165331710079579,,,,189.293,1.0894351492366061,10.09247411887868,17.5029,,24.3700008392334,2.5241917118842716
1952-06-30,,,,,2733.8,3.5962738991806464,,,,195.577,3.3197212786526764,10.491110521052827,17.0182,,24.959999084472656,2.4210021539655235
1952-09-30,,,,,2753.517,2.2373637292217197,,,,200.88,2.711464026956123,10.294844341953556,18.4723,,24.540000915527344,-1.6826850334565435
1952-12-31,,,,,2843.941,5.364084180388229,,,,208.132,3.610115491835919,11.150155137701411,19.1455,,26.56999969482422,8.272203356000784
1953-03-31,,,,,2896.811,6.189877102033248,,,,211.975,1.8464243845252026,11.982482183704612,19.4686,,25.290000915527344,-4.817458765519733
1953-06-30,,,,,2919.206,6.781988440997866,3.11,,,218.127,2.9022290364429937,11.529985632257379,19.5763,,24.139999389648438,-4.547257747123446
1953-09-30,,,,,2902.785,5.420994313817573,2.87,,,222.132,1.8360863166870578,10.579450418160107,19.307,,23.350000381469727,-3.2725726104097297
1953-12-31,,,,,2858.845,0.5240615047921171,2.59,,,225.767,1.6364143842400036,8.472988295889138,18.2299,,24.809999465942383,6.252672636490808
1954-03-31,,,,,2845.192,-1.7819250203068182,2.37,,,226.957,0.5270920905180887,7.067814600778388,18.0414,,26.940000534057617,8.585252373903373
1954-06-30,,,,,2848.305,-2.4287768660382403,2.38,,,231.822,2.1435778583608345,6.278452461180861,18.0953,,29.209999084472656,8.426126597678806
1954-09-30,,,,,2880.482,-0.7683311027168682,2.38,,,237.222,2.3293733985557896,6.793258062773488,18.1222,,32.310001373291016,10.612812002675653
1954-12-31,,,,,2936.852,2.728619424977574,2.51,,,244.211,2.9461854296819023,8.16948446850072,18.8762,,35.97999954223633,11.358706322987366
1955-03-31,,,4.733333,102.1122,3020.746,6.170198707152275,2.68,,,248.948,1.9397160652059098,9.68950065430898,20.0071,,36.58000183105469,1.6675994898611046
1955-06-30,,,4.4,102.4766,3069.91,7.780241231188367,2.78,,,259.377,4.189228272570977,11.886274814297181,20.5996,,41.029998779296875,12.1651085989404
1955-09-30,,,4.1,102.4338,3111.379,8.015915391937867,2.97,,,267.356,3.076217243626078,12.702869042500264,20.8688,,43.66999816894531,6.4343150577439
1955-12-31,,,4.233333,102.0572,3130.068,6.579017260658704,2.96,,,277.617,3.8379538891964327,13.679154501639967,21.3535,,45.47999954223633,4.14472509545043
1956-03-31,,0.3745318,4.033333,101.0808,3117.922,3.2169536928957188,2.96,,,282.304,1.6882971864114804,13.398782074971471,21.2997,,48.47999954223633,6.59630613499449
1956-06-30,,1.248439,4.2,100.3085,3143.694,2.403458081833021,3.0,,,291.311,3.1905321922466534,12.311808680029435,21.0843,,46.970001220703125,-3.114683035872712
1956-09-30,,1.987578,4.133333,100.4121,3140.874,0.9479719442729406,3.38,,,297.383,2.0843703121406376,11.231092625562923,21.7574,,45.349998474121094,-3.449015764274621
1956-12-31,,2.48139,4.133333,100.6115,3192.57,1.9968256280694208,3.59,,,305.291,2.659197062374119,9.968409715543359,22.0806,,46.66999816894531,2.9106940225752664
1957-03-31,,3.358209,3.933333,100.0694,3213.011,3.0497555743857596,3.41,,,309.274,1.3046568683649395,9.553530945363864,22.1883,,44.11000061035156,-5.4853174609661774
1957-06-30,,3.575832,4.1,99.27355,3205.97,1.9809816095332389,3.8,,,318.147,2.868977023610131,9.212147841997043,21.8652,,47.369998931884766,7.390610465709591
1957-09-30,,3.410475,4.233333,98.08245,3237.386,3.0727752848411116,3.92,,,323.451,1.6671538628370008,8.765800331558982,21.8113,,42.41999816894531,-10.449653524496084
1957-12-31,,3.026634,4.933333,96.802,3203.894,0.3546985657322921,3.21,,,329.585,1.8964232604010922,7.95765351746367,20.5726,,39.9900016784668,-5.728421959851615
1958-03-31,,3.489771,6.3,96.84594,3120.724,-2.8722901975747894,2.98,,,330.838,0.3801750686469374,6.972458079243649,19.5225,,42.099998474121094,5.2763108454442875
1958-06-30,,3.214286,7.366667,98.38667,3141.224,-2.019544786757199,2.97,,,336.654,1.75796008922795,5.817122273665953,19.8994,,45.2400016784668,7.458440185635307
1958-09-30,,2.237927,7.333333,100.3521,3213.884,-0.7259560645533125,3.76,,,342.246,1.661052594057999,5.810771956185001,20.7881,,50.060001373291016,10.654287170635612
1958-12-31,,1.99765,6.366667,102.051,3289.032,2.6573288629399228,3.86,,,352.516,3.0007655312260795,6.957537509292,21.6767,,55.209999084472656,10.287649959852718
1959-03-31,,0.9302326,5.833333,103.1306,3352.129,7.415106238167812,3.99,,,357.062,1.2895868556320744,7.926538063946698,22.7538,,55.439998626708984,0.41659037502324026
1959-06-30,,0.461361,5.1,102.8525,3427.667,9.118833932250613,4.34,,,369.456,3.4711058583663412,9.743534905273666,23.6155,,58.470001220703125,5.465372779671029
1959-09-30,,1.036866,5.266667,101.69,3430.057,6.726222850606911,4.68,,,378.124,2.346152180503225,10.483102797403054,22.2421,,56.880001068115234,-2.7193434571451736
1959-12-31,,1.612903,5.6,100.9833,3439.832,4.584935628476705,4.69,,,389.209,2.9315780008674297,10.40888924190675,23.5885,,59.88999938964844,5.2918394251235235
1960-03-31,,1.497696,5.133333,100.108,3517.181,4.92379619042107,4.25,,,393.312,1.054189394387084,10.152298480375954,23.777,,55.34000015258789,-7.597260449875676
1960-06-30,,1.722158,5.233333,99.25894,3498.246,2.0590973393856515,4.15,,,404.512,2.847612073875183,9.488545320687702,23.2654,,56.91999816894531,2.8550741091451393
1960-09-30,,1.254276,5.533333,98.59274,3515.385,2.487655452956039,3.8,,,410.756,1.5435883237085557,8.629973236292843,22.9153,,53.52000045776367,-5.973292024869792
1960-12-31,,1.360544,6.266667,98.26308,3470.278,0.8851013654155082,3.84,,,420.477,2.3666118084702426,8.033729949718516,22.1344,,58.11000061035156,8.576233395607268
1961-03-31,,1.475596,6.8,98.95934,3493.703,-0.6675232238545603,3.74,,,423.016,0.6038380220559247,7.552274021641847,22.2691,,65.05999755859375,11.960070341152495
1961-06-30,,0.9029346,7.0,100.2488,3553.021,1.5657846818091237,3.88,,,433.052,2.3724870926868036,7.055414919705716,23.4,,64.63999938964844,-0.6455551563263717
1961-09-30,,1.238739,6.766667,101.104,3621.252,3.0115335873595495,3.98,,,439.847,1.569095628238637,7.082306770929714,23.8578,,66.7300033569336,3.2332982472457417
1961-12-31,,0.671141,6.2,101.2552,3692.289,6.397498989994466,4.06,,,452.605,2.9005540562968557,7.6408459915762394,24.908,,71.55000305175781,7.223137198184171
1962-03-31,,0.8948546,5.633333,100.6409,3758.147,7.569160858836588,3.93,,,456.421,0.8431192761900519,7.89686442120392,25.2311,,69.55000305175781,-2.795247959043745
1962-06-30,,1.342282,5.533333,99.69348,3792.149,6.730272632782075,3.91,,,469.346,2.831815363447343,8.380979651404452,25.2042,,54.75,-21.279658378654453
1962-09-30,,1.223582,5.566667,99.39235,3838.776,6.0068727611334305,3.98,,,478.75,2.0036391063309456,8.844666440830572,25.635,,56.27000045776367,2.776256543860578
1962-12-31,,1.333333,5.533333,99.78593,3851.421,4.3098468185995165,3.86,,,492.52,2.87624020887729,8.818948089393608,25.7696,,63.099998474121094,12.13790289815979
1963-03-31,,1.219512,5.766667,100.2185,3893.482,3.601109802250946,3.93,,,498.502,1.2145699667018617,9.219777354679138,26.4159,,66.56999969482422,5.499209674507766
1963-06-30,,1.103753,5.733333,100.3107,3937.183,3.824586006509767,3.99,,,513.521,3.0128264279782213,9.412032913884417,27.0622,,69.37000274658203,4.20610344688872
1963-09-30,,1.208791,5.5,100.1853,4023.755,4.818697418135365,4.08,,,524.011,2.0427596923981772,9.453994778067877,27.2776,,71.69999694824219,3.3587921427247647
1963-12-31,,1.425439,5.566667,100.2134,4050.147,5.159809846807195,4.13,,,540.367,3.1213085221493353,9.714732396653947,27.5469,,75.0199966430664,4.630404234495034
1964-03-31,,1.533406,5.466667,100.4655,4135.553,6.217339646105979,4.22,,,547.51,1.3218793893779557,9.831053837296544,27.9777,,78.9800033569336,5.278601561005525
1964-06-30,,1.310044,5.2,100.7225,4180.592,6.182313598326505,4.17,,,563.882,2.9902650179905343,9.806999129538996,28.6778,,81.69000244140625,3.43124711229168
1964-09-30,,1.194354,5.0,100.8719,4245.918,5.521285465939152,4.2,,,574.871,1.9488119854863317,9.705903120354353,29.1625,,84.18000030517578,3.0481059974940328
1964-12-31,,1.081081,4.966667,101.0745,4259.046,5.157812790498717,4.18,,,591.322,2.861685491179755,9.42970240595744,29.9973,,84.75,0.6771200911829478
1965-03-31,,1.078749,4.9,101.1951,4362.111,5.478300000024183,4.21,,,601.145,1.6611930555602505,9.7961681065186,30.9128,,86.16000366210938,1.663721135232299
1965-06-30,,1.724138,4.666667,101.0107,4417.225,5.660274908434038,4.21,,,619.309,3.021567175972506,9.829538804217908,31.5321,,84.12000274658203,-2.367688984238603
1965-09-30,,1.716738,4.366667,101.134,4515.427,6.347484807761239,4.29,,,631.51,1.9700989328429008,9.852471250071758,32.0438,,89.95999908447266,6.9424585677726025
1965-12-31,,1.818182,4.1,101.6855,4619.458,8.46227065873435,4.62,,,649.65,2.8724802457601673,9.86399964824578,32.9054,,92.43000030517578,2.7456661247670544
1966-03-31,,2.347919,3.866667,101.7521,4731.888,8.477019498128314,4.87,,,661.449,1.8162087277765027,10.03152317660465,33.9018,,89.2300033569336,-3.4620760983195553
1966-06-30,,2.754237,3.833333,100.8486,4748.046,7.489340026826796,4.81,,,682.868,3.238193723174443,10.262889769081362,34.4403,,84.73999786376953,-5.031945897394352
1966-09-30,,3.270042,3.766667,99.78467,4788.254,6.042108531485502,5.18,,,692.403,1.3963167112824193,9.642444300169451,34.9789,,76.55999755859375,-9.653057011313814
1966-12-31,,3.676471,3.7,98.89137,4827.537,4.504402897482795,4.84,,,706.595,2.0496733838530456,8.76548910952053,35.0596,,80.33000183105469,4.924248161810141
1967-03-31,,3.023983,3.833333,98.61646,4870.299,2.925069232407873,4.54,,,713.77,1.015433168929869,7.9100580694807965,34.6292,,90.19999694824219,12.286810521858937
1967-06-30,,2.680412,3.833333,99.3139,4873.287,2.637737713577337,5.02,,,731.651,2.5051487173739506,7.143840390822231,34.6465,,90.63999938964844,0.4878076012116983
1967-09-30,,2.655771,3.8,100.2422,4919.392,2.7387436004856935,5.3,,,743.298,1.591879188301526,7.350488082807272,35.1727,,96.70999908447266,6.696822303285943
1967-12-31,,2.735562,3.9,100.7194,4956.477,2.6709272243796267,5.7,,,773.178,4.019922023199318,9.423078283882557,36.3536,,96.47000122070312,-0.24816240930775058
1968-03-31,,3.846154,3.733333,100.7512,5057.553,3.8448152772550426,5.74,,,773.843,0.08600865518677558,8.416296566120728,36.5584,,90.19999694824219,-6.499434221127953
1968-06-30,,4.016064,3.566667,100.771,5142.033,5.514676233925897,5.72,,,798.123,3.1375873400677046,9.085205924682693,37.158,,99.58000183105469,10.399118847193378
1968-09-30,,4.477612,3.533333,101.1004,5181.859,5.335354450306062,5.46,,,813.391,1.9129883489136246,9.429999811650225,37.3454,,102.66999816894531,3.103029002884572
1968-12-31,,4.733728,3.4,101.3766,5202.212,4.9578561546840705,6.03,,,840.074,3.2804641310267835,8.652082702818742,38.0233,,103.86000061035156,1.1590556760779025
1969-03-31,,4.775828,3.4,101.0275,5283.597,4.469434131486105,6.3,,,848.987,1.0609779614652926,9.710496832044747,38.8,,101.51000213623047,-2.262659792327093
1969-06-30,,5.501931,3.433333,100.2353,5299.625,3.064780019887059,6.57,,,875.953,3.176255937959005,9.751629761327507,38.8874,,97.70999908447266,-3.7434764769860407
1969-09-30,,5.619048,3.566667,99.58399,5334.6,2.947610114439625,7.16,,,891.625,1.7891370884054236,9.618252476361322,39.1737,,93.12000274658203,-4.697570751098324
1969-12-31,,5.932203,3.566667,98.84799,5308.556,2.0442073487201062,7.65,,,915.449,2.6719753259498047,8.972423857898226,38.7116,,92.05999755859375,-1.1383216889211178
1970-03-31,55.7473319735971,6.046512,4.166667,97.94032,5300.652,0.3227914619529093,7.07,,,920.172,0.5159216952555612,8.384698470059027,37.9205,,89.62999725341797,-2.639583282227609
1970-06-30,55.5463162444915,6.038426,4.766667,97.54118,5308.164,0.1611246078731865,7.84,,,943.967,2.585929587077196,7.764571843466483,37.6567,,72.72000122070312,-18.866447116922114
1970-09-30,56.0448949291585,5.680793,5.166667,97.69155,5357.077,0.42134368087578533,7.39,,,960.905,1.7943423869690278,7.770082714145521,37.4221,,84.30000305175781,15.924094659885535
1970-12-31,56.2989585314487,5.6,5.833333,98.67146,5299.672,-0.16735247777361906,6.39,,,981.085,2.100103548217569,7.169815030657101,37.2885,,92.1500015258789,9.311978873003612
1971-03-31,56.8460170635473,5.0,5.933333,99.93262,5443.619,2.697158764619889,5.7,,,994.486,1.3659366925393712,8.076098816308242,37.4631,,100.30999755859375,8.85512305761953
1971-06-30,57.7498345998532,4.400345,5.9,100.2955,5473.059,3.1064413232145816,6.52,,,1025.346,3.1031105515814117,8.620958147901359,38.0234,,98.69999694824219,-1.6050250718141257
1971-09-30,57.9527932184827,4.351536,6.033333,100.4125,5518.072,3.005276944871249,6.14,,,1049.77,2.382025189545778,9.248052617064118,38.3056,,98.33999633789062,-0.36474227100569134
1971-12-31,59.2866231490447,3.451179,5.933333,101.2566,5531.032,4.365553188952087,5.93,,,1077.712,2.6617259018642203,9.848993716140807,39.2035,,102.08999633789062,3.8133009351710934
1972-03-31,58.4104579757008,3.42523,5.766667,102.2806,5632.649,3.4725060662768703,6.07,,,1099.111,1.985595409534291,10.520510092650891,40.8263,,107.19999694824219,5.005388180678172
1972-06-30,59.6903773837502,3.140496,5.7,102.7784,5760.47,5.251377703035898,6.11,,,1139.652,3.6885264545619023,11.148041734204849,41.3497,,107.13999938964844,-0.05596787341581866
1972-09-30,60.5455868705106,3.025347,5.566667,103.3538,5814.854,5.378364037294192,6.55,,,1168.057,2.492427512960105,11.26789677738933,42.2132,,110.55000305175781,3.1827549762323715
1972-12-31,61.6436165514419,3.49878,5.366667,103.8107,5912.22,6.891806086097496,6.36,,,1210.643,3.6458837197157257,12.334556913164185,43.7367,,118.05000305175781,6.784260328322755
1973-03-31,63.164662872361,4.038772,4.933333,103.4284,6058.544,7.561184799549903,6.71,,,1246.838,2.989733554813423,13.440589712958918,44.7045,,111.5199966430664,-5.531559711886147
1973-06-30,63.3757573953064,5.528846,4.933333,102.289,6124.506,6.319553786409782,6.9,,,1295.54,3.9060407206068515,13.678561525799093,45.0035,,104.26000213623047,-6.510038311848643
1973-09-30,64.076727803121,6.825397,4.8,101.3243,6092.301,4.7713493752379765,7.09,,,1336.394,3.1534340892600765,14.411711072319244,45.4624,,108.43000030517578,3.9996145055671617
1973-12-31,64.4010049999491,8.254717,4.766667,100.6834,6150.131,4.024055261813664,6.74,,,1373.126,2.7485906102541646,13.42121500723168,45.923,,97.55000305175781,-10.034120836296466
1974-03-31,63.6766084864611,9.937888,5.133333,99.89317,6097.258,0.6389984128199799,7.21,,,1399.728,1.9373313155529814,12.262218507937694,45.4777,,93.9800033569336,-3.659661284613247
1974-06-30,62.9790661110586,10.55429,5.2,98.59331,6111.751,-0.20826169490241186,7.54,,,1452.27,3.7537292959775037,12.097658119394229,45.6238,,86.0,-8.49117160235221
1974-09-30,63.2324337663339,11.44131,5.633333,96.94318,6053.978,-0.6290398324048763,8.04,,,1490.429,2.6275417105634746,11.526166684376026,45.2365,,63.540000915527344,-26.116278005200765
1974-12-31,62.2846608282658,12.20044,6.6,95.63673,6030.464,-1.9457634317057715,7.43,,,1523.934,2.2480104721526395,10.982823134949005,42.0533,,68.55999755859375,7.900529698984737
1975-03-31,62.4130921104947,11.08757,8.266666,95.92093,5957.035,-2.2997714710448536,7.73,,,1531.672,0.5077647719651912,9.426402843981109,40.0638,,83.36000061035156,21.586936375120523
1975-06-30,62.4396280789175,9.684066,8.866667,97.31667,5999.61,-1.8348424207727088,7.86,,,1556.872,1.6452608652505196,7.202655153656012,40.2772,,95.19000244140625,14.19146082585998
1975-09-30,61.170192832849,8.733334,8.466666,98.71856,6102.326,0.7986153897486803,8.43,,,1581.501,1.5819540720110492,6.110455446049423,41.6304,,83.87000274658203,-11.892004837159442
1975-12-31,61.3393469960194,7.249191,8.3,99.93673,6184.53,2.5547951202428143,8.0,,,1615.051,2.121402389249205,5.979064710151483,42.4414,,90.19000244140625,7.535470952493539
1976-03-31,61.3799723569383,6.357279,7.733333,100.8788,6323.649,6.154303273356643,7.73,,,1635.133,1.2434282261055696,6.754775173797012,43.5168,,102.7699966430664,13.9483244939848
1976-06-30,62.4032642108448,6.073889,7.566667,101.0847,6370.025,6.173984642335095,7.86,,,1682.642,2.905512884884587,8.07837767009747,43.9637,,104.27999877929688,1.4693025061340625
1976-09-30,62.402996501655,5.518087,7.733333,101.0222,6404.895,4.95825690072933,7.59,,,1723.078,2.4031255608738977,8.95206515835274,44.6721,,105.23999786376953,0.9205975217783102
1976-12-31,62.7119864954673,5.069403,7.766667,101.3034,6451.177,4.311515992322779,6.87,,,1773.575,2.9306276326434455,9.815417593623987,45.8294,,107.45999908447266,2.109465284840528
1977-03-31,63.0567532511507,5.85774,7.5,101.8397,6527.703,3.2268394403294653,7.46,,,1816.288,2.4082996208223406,11.078915293129054,46.8185,,98.41999816894531,-8.412433456677338
1977-06-30,64.1786673371641,6.847698,7.133333,101.9842,6654.466,4.465304296293993,7.28,,,1886.176,3.847847918391789,12.096096495867803,48.0116,,100.4800033569336,2.0930758243381975
1977-09-30,65.1910348499212,6.682161,6.9,101.7621,6774.457,5.769993106834703,7.34,,,1947.699,3.2617846902940117,13.036032031051414,48.3189,,96.52999877929688,-3.9311349976822507
1977-12-31,66.6031901886216,6.605399,6.666667,101.6691,6774.592,5.013271221670101,7.69,,,2020.846,3.7555597656516726,13.941953399207808,48.5629,,95.0999984741211,-1.4814050795186384
1978-03-31,67.3033415990865,6.606437,6.333333,101.8378,6796.26,4.1141118093148465,8.04,,,2072.739,2.5678849353191646,14.119511883577939,49.0265,,89.20999908447266,-6.193480004367446
1978-06-30,67.987880300849,6.961326,6.0,102.2252,7058.92,6.077933225596155,8.46,,,2163.082,4.358628848108692,14.680814515718566,50.5801,,95.52999877929688,7.084407308243357
1978-09-30,69.1910769828303,7.95207,6.033333,102.1642,7129.915,5.247033083241948,8.42,,,2238.138,3.469863833178777,14.911903738719378,50.8744,,102.54000091552734,7.338011332362404
1978-12-31,70.0734313726074,8.943966,5.9,101.6215,7225.75,6.659559719611163,9.01,,,2315.825,3.471054957290387,14.596807475680972,51.909,,96.11000061035156,-6.27072386167894
1979-03-31,71.5077302822835,9.745763,5.866667,101.0753,7238.727,6.510448393675339,9.12,,,2378.591,2.7103084214048945,14.755934056338017,52.0446,,101.58999633789062,5.701795539213461
